alias,title,id,name,price,rating,review_count,distance,coordinates_latitude,coordinates_longitude,location_address1,city
breakfast_brunch,Breakfast & Brunch,FC1HGH4fr6UbK4s0K54Asg,B Bistro + Bakery,Medio,4.4,1184,9851.903365385766,25.767529000000025,-80.19103729999999,600 Brickell Ave,Miami
newamerican,New American,FC1HGH4fr6UbK4s0K54Asg,B Bistro + Bakery,Medio,4.4,1184,9851.903365385766,25.767529000000025,-80.19103729999999,600 Brickell Ave,Miami
halal,Halal,3kr1xjI-HzcIAgJVop545A,Shahs of Kabob,No especificado,4.5,105,2987.251714766774,25.74737,-80.25884,2624 Ponce De Leon,Miami
mediterranean,Mediterranean,3kr1xjI-HzcIAgJVop545A,Shahs of Kabob,No especificado,4.5,105,2987.251714766774,25.74737,-80.25884,2624 Ponce De Leon,Miami
persian,Persian/Iranian,3kr1xjI-HzcIAgJVop545A,Shahs of Kabob,No especificado,4.5,105,2987.251714766774,25.74737,-80.25884,2624 Ponce De Leon,Miami
french,French,Z4_MkMLc_CA4kkAYOj5EzA,Pastis Miami,No especificado,4.4,322,10156.522443552038,25.8011472,-80.2019445,380 NW 26th St,Miami
desserts,Desserts,kgqUG84wRDUvMxlEwBhaMA,The Collab,No especificado,4.4,14,4545.097319584227,25.712861631435565,-80.2785407,1350 South Dixie Hwy,Miami
newamerican,New American,kgqUG84wRDUvMxlEwBhaMA,The Collab,No especificado,4.4,14,4545.097319584227,25.712861631435565,-80.2785407,1350 South Dixie Hwy,Miami
cocktailbars,Cocktail Bars,kgqUG84wRDUvMxlEwBhaMA,The Collab,No especificado,4.4,14,4545.097319584227,25.712861631435565,-80.2785407,1350 South Dixie Hwy,Miami
bbq,Barbeque,7nCH2ojnZh7qAfB0QPb2-w,Slab Daddy Barbecue,No especificado,4.4,30,9241.883552839137,25.795484204546028,-80.2088363,795 NW 20th St,Miami
steak,Steakhouses,MxW98kWX6_gBEsB9u8AR9A,Texas Roadhouse,Medio,4.0,720,5731.621981138362,25.7696468686623,-80.3421527917608,9161 W Flagler St,Miami
bbq,Barbeque,MxW98kWX6_gBEsB9u8AR9A,Texas Roadhouse,Medio,4.0,720,5731.621981138362,25.7696468686623,-80.3421527917608,9161 W Flagler St,Miami
tradamerican,American,MxW98kWX6_gBEsB9u8AR9A,Texas Roadhouse,Medio,4.0,720,5731.621981138362,25.7696468686623,-80.3421527917608,9161 W Flagler St,Miami
tradamerican,American,g3U7lz6gUvmQ1nE4yQnvDA,The Thousand Sunny,Medio,4.4,81,8279.717199165318,25.6822568,-80.3140447,9545 S Dixie Hwy,Miami
mediterranean,Mediterranean,2SJpb38UqPLwfMukVG8NKg,The Mediterranean Kitchen,No especificado,4.3,8,5036.210125431076,25.796845,-80.276198,2100 NW 42nd Ave,Miami
portuguese,Portuguese,-vIOvnJhvEfWfUZeobqGqQ,Majestic Portuguese Bakehouse,Medio,4.3,177,3963.8169545857595,25.749701,-80.2486254,3340 Coral Way,Miami
bakeries,Bakeries,-vIOvnJhvEfWfUZeobqGqQ,Majestic Portuguese Bakehouse,Medio,4.3,177,3963.8169545857595,25.749701,-80.2486254,3340 Coral Way,Miami
desserts,Desserts,-vIOvnJhvEfWfUZeobqGqQ,Majestic Portuguese Bakehouse,Medio,4.3,177,3963.8169545857595,25.749701,-80.2486254,3340 Coral Way,Miami
mediterranean,Mediterranean,AP7QE5AA7yrqRrrekcI6ug,LIRA Beirut eatery,No especificado,4.7,146,10103.167265788574,25.795729,-80.199072,2000 NW 2nd Ave,Miami
lebanese,Lebanese,AP7QE5AA7yrqRrrekcI6ug,LIRA Beirut eatery,No especificado,4.7,146,10103.167265788574,25.795729,-80.199072,2000 NW 2nd Ave,Miami
mediterranean,Mediterranean,nvwXcXSSNoV7FDWvYi_OKA,Mandolin Aegean Bistro,Medio,4.3,2504,11935.065944247419,25.815960646211337,-80.19164751387174,4312 NE 2nd Ave,Miami
greek,Greek,nvwXcXSSNoV7FDWvYi_OKA,Mandolin Aegean Bistro,Medio,4.3,2504,11935.065944247419,25.815960646211337,-80.19164751387174,4312 NE 2nd Ave,Miami
turkish,Turkish,nvwXcXSSNoV7FDWvYi_OKA,Mandolin Aegean Bistro,Medio,4.3,2504,11935.065944247419,25.815960646211337,-80.19164751387174,4312 NE 2nd Ave,Miami
sushi,Sushi Bars,srvNzBtnyKd4pSENmGGR7Q,SHINGO,No especificado,4.8,35,3147.3568008802363,25.75304316263367,-80.25662542575145,112 Alhambra Cir,Miami
japanese,Japanese,srvNzBtnyKd4pSENmGGR7Q,SHINGO,No especificado,4.8,35,3147.3568008802363,25.75304316263367,-80.25662542575145,112 Alhambra Cir,Miami
seafood,Seafood,3vR7NTYEGtKYqtwGOsuJpg,Hemingways on the Beach Turks and Caicos,Alto,3.3,50,9369.195412273604,25.7748107910156,-80.1977310180664,Grace Bay Turks And Caicos,Miami
ramen,Ramen,Yzz_gAcCupmgSIn6KStovw,Ohho Noodles Market,Medio,3.7,456,4261.558788309082,25.71672337,-80.27378209,1100 S Dixie Hwy,Miami
chinese,Chinese,Yzz_gAcCupmgSIn6KStovw,Ohho Noodles Market,Medio,3.7,456,4261.558788309082,25.71672337,-80.27378209,1100 S Dixie Hwy,Miami
noodles,Noodles,Yzz_gAcCupmgSIn6KStovw,Ohho Noodles Market,Medio,3.7,456,4261.558788309082,25.71672337,-80.27378209,1100 S Dixie Hwy,Miami
chinese,Chinese,vsyuWsegeskGw8IFLrxzWg,King Duck BBQ,Medio,4.4,139,7843.60102157702,25.76788,-80.36445,10340 West Flagler St,Miami
bbq,Barbeque,vsyuWsegeskGw8IFLrxzWg,King Duck BBQ,Medio,4.4,139,7843.60102157702,25.76788,-80.36445,10340 West Flagler St,Miami
seafood,Seafood,d4pfwfJktfuTAQM51oj_ZQ,Monty's Raw Bar,Medio,3.3,1307,6016.363069036825,25.73227,-80.232488,2550 S Bayshore Dr,Miami
tikibars,Tiki Bars,d4pfwfJktfuTAQM51oj_ZQ,Monty's Raw Bar,Medio,3.3,1307,6016.363069036825,25.73227,-80.232488,2550 S Bayshore Dr,Miami
venues,Venues & Event Spaces,d4pfwfJktfuTAQM51oj_ZQ,Monty's Raw Bar,Medio,3.3,1307,6016.363069036825,25.73227,-80.232488,2550 S Bayshore Dr,Miami
falafel,Falafel,BMxexobPyjZcWHcHbTP5zA,Amsterdam Falafelshop,Bajo,4.5,386,5375.831553271986,25.7044638,-80.2880526,5835 Sunset Dr,Miami
vegan,Vegan,BMxexobPyjZcWHcHbTP5zA,Amsterdam Falafelshop,Bajo,4.5,386,5375.831553271986,25.7044638,-80.2880526,5835 Sunset Dr,Miami
vegetarian,Vegetarian,BMxexobPyjZcWHcHbTP5zA,Amsterdam Falafelshop,Bajo,4.5,386,5375.831553271986,25.7044638,-80.2880526,5835 Sunset Dr,Miami
newamerican,New American,LD8i6FUVc97e43GWDyVa3A,Blue Matisse,Medio,4.4,228,6926.376487455864,25.7978477478027,-80.3358383178711,2505 NW 87th Ave,Miami
buffets,Buffets,LD8i6FUVc97e43GWDyVa3A,Blue Matisse,Medio,4.4,228,6926.376487455864,25.7978477478027,-80.3358383178711,2505 NW 87th Ave,Miami
lounges,Lounges,LD8i6FUVc97e43GWDyVa3A,Blue Matisse,Medio,4.4,228,6926.376487455864,25.7978477478027,-80.3358383178711,2505 NW 87th Ave,Miami
sandwiches,Sandwiches,PYMJZAHf_FfC-Id4z05KqQ,Sanguich De Miami,No especificado,4.5,30,10617.614006539021,25.77736866152403,-80.18558457479473,401 Biscayne Blvd S116,Miami
cuban,Cuban,PYMJZAHf_FfC-Id4z05KqQ,Sanguich De Miami,No especificado,4.5,30,10617.614006539021,25.77736866152403,-80.18558457479473,401 Biscayne Blvd S116,Miami
coffee,Coffee & Tea,PYMJZAHf_FfC-Id4z05KqQ,Sanguich De Miami,No especificado,4.5,30,10617.614006539021,25.77736866152403,-80.18558457479473,401 Biscayne Blvd S116,Miami
latin,Latin American,kG8t6gBsarlvsxIocFUkAQ,Miranda Cuisine & Bar,Medio,4.3,100,6597.949376211834,25.80882,-80.2661,4299 NW 36th St,Miami
bars,Bars,kG8t6gBsarlvsxIocFUkAQ,Miranda Cuisine & Bar,Medio,4.3,100,6597.949376211834,25.80882,-80.2661,4299 NW 36th St,Miami
newamerican,New American,kG8t6gBsarlvsxIocFUkAQ,Miranda Cuisine & Bar,Medio,4.3,100,6597.949376211834,25.80882,-80.2661,4299 NW 36th St,Miami
salad,Salad,2mnanBIvWkI4nxnF1XYwqw,La Cañita,No especificado,4.6,46,12083.769879408877,25.689339402552033,-80.38594767054707,8405 Mills Dr,Miami
latin,Latin American,2mnanBIvWkI4nxnF1XYwqw,La Cañita,No especificado,4.6,46,12083.769879408877,25.689339402552033,-80.38594767054707,8405 Mills Dr,Miami
cuban,Cuban,2mnanBIvWkI4nxnF1XYwqw,La Cañita,No especificado,4.6,46,12083.769879408877,25.689339402552033,-80.38594767054707,8405 Mills Dr,Miami
mediterranean,Mediterranean,rbPpKsUOLyZjcYhhxrae3w,Lili’s Mediterranean Food,No especificado,4.6,15,2962.003982470374,25.75486889851338,-80.25856189999999,1915 Ponce De Leon,Miami
breakfast_brunch,Breakfast & Brunch,LnyDHTiXoPRSxk7e5qPl4w,CRAFT Coral Gables,Medio,4.4,285,3071.141244090424,25.751518923728018,-80.2574202411596,127 Giralda Ave,Miami
pizza,Pizza,LnyDHTiXoPRSxk7e5qPl4w,CRAFT Coral Gables,Medio,4.4,285,3071.141244090424,25.751518923728018,-80.2574202411596,127 Giralda Ave,Miami
newamerican,New American,LnyDHTiXoPRSxk7e5qPl4w,CRAFT Coral Gables,Medio,4.4,285,3071.141244090424,25.751518923728018,-80.2574202411596,127 Giralda Ave,Miami
sushi,Sushi Bars,UKuU-892MTbWwJtpy9cKMg,Mai Sushi Tapas Bar,No especificado,4.8,66,3175.275974824157,25.74949337339188,-80.25656325019195,98 Miracle Mile,Miami
japanese,Japanese,UKuU-892MTbWwJtpy9cKMg,Mai Sushi Tapas Bar,No especificado,4.8,66,3175.275974824157,25.74949337339188,-80.25656325019195,98 Miracle Mile,Miami
tapas,Tapas Bars,UKuU-892MTbWwJtpy9cKMg,Mai Sushi Tapas Bar,No especificado,4.8,66,3175.275974824157,25.74949337339188,-80.25656325019195,98 Miracle Mile,Miami
indpak,Indian,NtBdy9oTCc_wqGXionh2IA,Namaste Miami,Medio,4.5,211,2897.159805344041,25.754562,-80.259166,221 Navarre Ave Coral Gables,Miami
cuban,Cuban,tW1oJJPv3kdHlw5B57Q-ZA,El Mago De Las Fritas,Bajo,4.7,449,1198.8548498392413,25.763315,-80.290834,5828 SW 8th St,Miami
sandwiches,Sandwiches,tW1oJJPv3kdHlw5B57Q-ZA,El Mago De Las Fritas,Bajo,4.7,449,1198.8548498392413,25.763315,-80.290834,5828 SW 8th St,Miami
newamerican,New American,aIQK1sw9Prr-KdUu717vRw,Dolores But You Can Call Me Lolita,Medio,4.0,1934,9554.65241309611,25.76427,-80.19354,1000 S Miami Ave,Miami
cocktailbars,Cocktail Bars,aIQK1sw9Prr-KdUu717vRw,Dolores But You Can Call Me Lolita,Medio,4.0,1934,9554.65241309611,25.76427,-80.19354,1000 S Miami Ave,Miami
tapas,Tapas Bars,aIQK1sw9Prr-KdUu717vRw,Dolores But You Can Call Me Lolita,Medio,4.0,1934,9554.65241309611,25.76427,-80.19354,1000 S Miami Ave,Miami
peruvian,Peruvian,02vQKp7S8ouqn8nHZ_ZKmg,Ceviches by Divino ® Miami Springs - Peruvian Tapas & Gastrobar,Medio,4.8,550,7714.211699017447,25.821931857583262,-80.2812265,46 Curtiss Pkwy,Miami
gastropubs,Gastropubs,02vQKp7S8ouqn8nHZ_ZKmg,Ceviches by Divino ® Miami Springs - Peruvian Tapas & Gastrobar,Medio,4.8,550,7714.211699017447,25.821931857583262,-80.2812265,46 Curtiss Pkwy,Miami
tapas,Tapas Bars,02vQKp7S8ouqn8nHZ_ZKmg,Ceviches by Divino ® Miami Springs - Peruvian Tapas & Gastrobar,Medio,4.8,550,7714.211699017447,25.821931857583262,-80.2812265,46 Curtiss Pkwy,Miami
french,French,Gqm1X7wfFhTlKUzvh9JtFg,Cafe Panisse,No especificado,5.0,1,5518.960654400239,25.703241006628552,-80.2856948,7310 SW 57th Ave,Miami
salad,Salad,Gqm1X7wfFhTlKUzvh9JtFg,Cafe Panisse,No especificado,5.0,1,5518.960654400239,25.703241006628552,-80.2856948,7310 SW 57th Ave,Miami
sandwiches,Sandwiches,Gqm1X7wfFhTlKUzvh9JtFg,Cafe Panisse,No especificado,5.0,1,5518.960654400239,25.703241006628552,-80.2856948,7310 SW 57th Ave,Miami
desserts,Desserts,LyjRX3imu7S4WsmZiKlLTw,Habana Con B,Medio,4.9,100,7803.694698416748,25.7661634,-80.211436,1005 SW 8th St,Miami
cuban,Cuban,LyjRX3imu7S4WsmZiKlLTw,Habana Con B,Medio,4.9,100,7803.694698416748,25.7661634,-80.211436,1005 SW 8th St,Miami
sandwiches,Sandwiches,LyjRX3imu7S4WsmZiKlLTw,Habana Con B,Medio,4.9,100,7803.694698416748,25.7661634,-80.211436,1005 SW 8th St,Miami
bars,Bars,kSBE7iHfiYKdyNBIoB3Bvw,The Doral Yard,Medio,4.5,414,8858.226296993038,25.81999998,-80.33561727,8455 NW 53rd St,Miami
musicvenues,Music Venues,kSBE7iHfiYKdyNBIoB3Bvw,The Doral Yard,Medio,4.5,414,8858.226296993038,25.81999998,-80.33561727,8455 NW 53rd St,Miami
tradamerican,American,kSBE7iHfiYKdyNBIoB3Bvw,The Doral Yard,Medio,4.5,414,8858.226296993038,25.81999998,-80.33561727,8455 NW 53rd St,Miami
bbq,Barbeque,gWeoN0eDy-tt05a9503jZg,Hometown Bar-B-Que,Alto,4.0,683,8718.172865914836,25.797445333,-80.215986833,1200 NW 22nd St,Miami
beerbar,Beer Bar,gWeoN0eDy-tt05a9503jZg,Hometown Bar-B-Que,Alto,4.0,683,8718.172865914836,25.797445333,-80.215986833,1200 NW 22nd St,Miami
cocktailbars,Cocktail Bars,gWeoN0eDy-tt05a9503jZg,Hometown Bar-B-Que,Alto,4.0,683,8718.172865914836,25.797445333,-80.215986833,1200 NW 22nd St,Miami
wine_bars,Wine Bars,LvBZDGRQMbZsddjnkMIGxg,Jass Kitchen,No especificado,4.6,206,12035.286063119343,25.81768,-80.1918,190 NE 46th St,Miami
turkish,Turkish,LvBZDGRQMbZsddjnkMIGxg,Jass Kitchen,No especificado,4.6,206,12035.286063119343,25.81768,-80.1918,190 NE 46th St,Miami
musicvenues,Music Venues,LvBZDGRQMbZsddjnkMIGxg,Jass Kitchen,No especificado,4.6,206,12035.286063119343,25.81768,-80.1918,190 NE 46th St,Miami
tradamerican,American,Gv5X1-qLTGZbwoz829-Xxg,Corona Beach House,Medio,4.1,834,5091.388969609832,25.797384,-80.276331,2100 NW 42nd Ave,Miami
sportsbars,Sports Bars,Gv5X1-qLTGZbwoz829-Xxg,Corona Beach House,Medio,4.1,834,5091.388969609832,25.797384,-80.276331,2100 NW 42nd Ave,Miami
salad,Salad,Gv5X1-qLTGZbwoz829-Xxg,Corona Beach House,Medio,4.1,834,5091.388969609832,25.797384,-80.276331,2100 NW 42nd Ave,Miami
sportsbars,Sports Bars,-NKYlNaASizxqmNBgSfgeQ,Old Tom's Sports Bar - Miami Springs,Medio,3.9,434,6235.045477121227,25.8081856553967,-80.278128638623,5001 NW 36th St,Miami
tradamerican,American,-NKYlNaASizxqmNBgSfgeQ,Old Tom's Sports Bar - Miami Springs,Medio,3.9,434,6235.045477121227,25.8081856553967,-80.278128638623,5001 NW 36th St,Miami
chicken_wings,Chicken Wings,-NKYlNaASizxqmNBgSfgeQ,Old Tom's Sports Bar - Miami Springs,Medio,3.9,434,6235.045477121227,25.8081856553967,-80.278128638623,5001 NW 36th St,Miami
taiwanese,Taiwanese,wsJQm_iSAj2jLeK9jaCQdg,Hi Pot Miami,Medio,4.4,267,7970.503448316423,25.752836,-80.367636,1665 SW 107th Ave,Miami
hotpot,Hot Pot,wsJQm_iSAj2jLeK9jaCQdg,Hi Pot Miami,Medio,4.4,267,7970.503448316423,25.752836,-80.367636,1665 SW 107th Ave,Miami
ramen,Ramen,wsJQm_iSAj2jLeK9jaCQdg,Hi Pot Miami,Medio,4.4,267,7970.503448316423,25.752836,-80.367636,1665 SW 107th Ave,Miami
peruvian,Peruvian,Gmc2n85rsCNlB590Pqzttw,Ranchito Mi Peru,Medio,3.7,32,7291.853128605597,25.7953472,-80.2326096,2102 NW 22nd Ct,Miami
latin,Latin American,Gmc2n85rsCNlB590Pqzttw,Ranchito Mi Peru,Medio,3.7,32,7291.853128605597,25.7953472,-80.2326096,2102 NW 22nd Ct,Miami
sushi,Sushi Bars,ZapyedL_M2bQEXh0r6aGDw,Paperfish Sushi,No especificado,4.4,872,9524.33202446681,25.7602341,-80.1933038,1421 S Miami Ave,Miami
japanese,Japanese,ZapyedL_M2bQEXh0r6aGDw,Paperfish Sushi,No especificado,4.4,872,9524.33202446681,25.7602341,-80.1933038,1421 S Miami Ave,Miami
cocktailbars,Cocktail Bars,ZapyedL_M2bQEXh0r6aGDw,Paperfish Sushi,No especificado,4.4,872,9524.33202446681,25.7602341,-80.1933038,1421 S Miami Ave,Miami
japanese,Japanese,YCIcD8zaluU7i9AfsoJplQ,Matsuri,Medio,4.0,895,2013.360371995776,25.734722326687,-80.2879967867714,5759 Bird Rd,Miami
sushi,Sushi Bars,YCIcD8zaluU7i9AfsoJplQ,Matsuri,Medio,4.0,895,2013.360371995776,25.734722326687,-80.2879967867714,5759 Bird Rd,Miami
sportsbars,Sports Bars,IrCQmyud3SNX3kBxeu_DDQ,Howling Wolf Bar & Eatery,No especificado,4.8,29,10273.936216267302,25.789042165294852,-80.19365909387089,1447 NE Miami Ct,Miami
burgers,Burgers,IrCQmyud3SNX3kBxeu_DDQ,Howling Wolf Bar & Eatery,No especificado,4.8,29,10273.936216267302,25.789042165294852,-80.19365909387089,1447 NE Miami Ct,Miami
sandwiches,Sandwiches,IrCQmyud3SNX3kBxeu_DDQ,Howling Wolf Bar & Eatery,No especificado,4.8,29,10273.936216267302,25.789042165294852,-80.19365909387089,1447 NE Miami Ct,Miami
mexican,Mexican,1eto1cFYJ2dNZfIsa6BMZQ,To Be Determined,No especificado,4.2,17,4172.602348070514,25.74932,-80.24653,2240 SW 32nd Ave,Miami
gastropubs,Gastropubs,7ttBVJ-B9xQKLibnHi5_lw,Tap 42  - Coral Gables,Medio,4.1,1280,2721.6859493692673,25.7511526879356,-80.2609388498841,301 Giralda Ave,Miami
breakfast_brunch,Breakfast & Brunch,7ttBVJ-B9xQKLibnHi5_lw,Tap 42  - Coral Gables,Medio,4.1,1280,2721.6859493692673,25.7511526879356,-80.2609388498841,301 Giralda Ave,Miami
beerbar,Beer Bar,7ttBVJ-B9xQKLibnHi5_lw,Tap 42  - Coral Gables,Medio,4.1,1280,2721.6859493692673,25.7511526879356,-80.2609388498841,301 Giralda Ave,Miami
basque,Basque,4YdRkZ1PB6P_FJMu73fsXQ,Casa Xabi,No especificado,4.2,72,5202.212919574421,25.727562973293985,-80.24433761779083,3145 Commodore Plz,Miami
bars,Bars,4YdRkZ1PB6P_FJMu73fsXQ,Casa Xabi,No especificado,4.2,72,5202.212919574421,25.727562973293985,-80.24433761779083,3145 Commodore Plz,Miami
food_court,Food Court,eGMNNkbahmLYYcvCxvTbeA,Central Fare Food Collective,No especificado,4.5,2,9719.121386341172,25.779648819317405,-80.19567670485692,550 NW 1st Ave,Miami
asianfusion,Asian Fusion,XXk0WJoXomMPlXsISgnXUQ,107 Taste,Medio,4.4,1223,7937.971951295767,25.7527,-80.367311,1679 SW 107th Ave,Miami
japanese,Japanese,XXk0WJoXomMPlXsISgnXUQ,107 Taste,Medio,4.4,1223,7937.971951295767,25.7527,-80.367311,1679 SW 107th Ave,Miami
noodles,Noodles,XXk0WJoXomMPlXsISgnXUQ,107 Taste,Medio,4.4,1223,7937.971951295767,25.7527,-80.367311,1679 SW 107th Ave,Miami
vietnamese,Vietnamese,i-fgz6ZbZ4D1uqeKa76xmw,Pho 79,Medio,4.2,933,7874.619628255297,25.756192,-80.366591,1415 SW 107th Ave,Miami
noodles,Noodles,i-fgz6ZbZ4D1uqeKa76xmw,Pho 79,Medio,4.2,933,7874.619628255297,25.756192,-80.366591,1415 SW 107th Ave,Miami
bubbletea,Bubble Tea,i-fgz6ZbZ4D1uqeKa76xmw,Pho 79,Medio,4.2,933,7874.619628255297,25.756192,-80.366591,1415 SW 107th Ave,Miami
spanish,Spanish,-cEQ49ZoBTUuEHjD3chNLg,Sra Martinez,No especificado,4.5,61,3158.2574483158605,25.7508862,-80.25658981687346,2325 Galiano St,Miami
venues,Venues & Event Spaces,-cEQ49ZoBTUuEHjD3chNLg,Sra Martinez,No especificado,4.5,61,3158.2574483158605,25.7508862,-80.25658981687346,2325 Galiano St,Miami
wine_bars,Wine Bars,-cEQ49ZoBTUuEHjD3chNLg,Sra Martinez,No especificado,4.5,61,3158.2574483158605,25.7508862,-80.25658981687346,2325 Galiano St,Miami
